id,key,value,type
12198849,highway,secondary_link,regular
,,,
12198849,oneway,yes,regular
,,,
12198849,cfcc,A63,tiger
,,,
12198849,county,"Honolulu, HI",tiger
,,,
12198849,reviewed,no,tiger
,,,
12198856,highway,secondary,regular
,,,
12198856,lanes,3,regular
,,,
12198856,name,Kuala Street,regular
,,,
12198856,oneway,yes,regular
,,,
12198856,cfcc,A41,tiger
,,,
12198856,county,"Honolulu, HI",tiger
,,,
12198856,reviewed,no,tiger
,,,
12198856,lanes,left|through|through;right,turn
,,,
12198862,destination,Punchbowl Street,regular
,,,
12198862,highway,motorway_link,regular
,,,
12198862,oneway,yes,regular
,,,
12198862,cfcc,A63,tiger
,,,
12198862,county,"Honolulu, HI",tiger
,,,
12198862,reviewed,no,tiger
,,,
12198880,access,private,regular
,,,
12198880,highway,service,regular
,,,
12198880,lanes,2,regular
,,,
12198880,service,driveway,regular
,,,
12198880,cfcc,A41,tiger
,,,
12198880,county,"Honolulu, HI",tiger
,,,
12198883,access,private,regular
,,,
12198883,highway,service,regular
,,,
12198883,service,driveway,regular
,,,
12198883,cfcc,A41,tiger
,,,
12198883,county,"Honolulu, HI",tiger
,,,
12198885,highway,footway,regular
,,,
12198885,cfcc,A71,tiger
,,,
12198885,county,"Honolulu, HI",tiger
,,,
12198885,reviewed,no,tiger
,,,
12198885,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12198885,tlid,203336048,tiger
,,,
12198885,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198886,access,private,regular
,,,
12198886,highway,service,regular
,,,
12198886,service,driveway,regular
,,,
12198886,cfcc,A41,tiger
,,,
12198886,county,"Honolulu, HI",tiger
,,,
12198891,highway,service,regular
,,,
12198891,cfcc,A41,tiger
,,,
12198891,county,"Honolulu, HI",tiger
,,,
12198894,highway,service,regular
,,,
12198894,cfcc,A41,tiger
,,,
12198894,county,"Honolulu, HI",tiger
,,,
12198946,highway,residential,regular
,,,
12198946,cfcc,A41,tiger
,,,
12198946,county,"Honolulu, HI",tiger
,,,
12198946,reviewed,no,tiger
,,,
12198946,separated,no,tiger
,,,
12198946,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12198946,tlid,203332937,tiger
,,,
12198946,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198999,highway,residential,regular
,,,
12198999,name,Okamura Street,regular
,,,
12198999,oneway,no,regular
,,,
12198999,surface,paved,regular
,,,
12199013,highway,residential,regular
,,,
12199013,cfcc,A41,tiger
,,,
12199013,county,"Honolulu, HI",tiger
,,,
12199013,reviewed,no,tiger
,,,
12199026,access,private,regular
,,,
12199026,highway,service,regular
,,,
12199026,service,driveway,regular
,,,
12199026,cfcc,A41,tiger
,,,
12199026,county,"Honolulu, HI",tiger
,,,
12199026,reviewed,no,tiger
,,,
12199056,access,no,regular
,,,
12199056,highway,service,regular
,,,
12199056,service,parking_aisle,regular
,,,
12199056,source,Bing,regular
,,,
12199056,cfcc,A41,tiger
,,,
12199056,county,"Honolulu, HI",tiger
,,,
12199067,access,no,regular
,,,
12199067,highway,service,regular
,,,
12199067,cfcc,A41,tiger
,,,
12199067,county,"Honolulu, HI",tiger
,,,
12199067,reviewed,no,tiger
,,,
12199094,highway,residential,regular
,,,
12199094,cfcc,A41,tiger
,,,
12199094,county,"Honolulu, HI",tiger
,,,
12199094,reviewed,no,tiger
,,,
12199094,separated,no,tiger
,,,
12199094,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12199094,tlid,203258655,tiger
,,,
12199094,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12199096,access,private,regular
,,,
12199096,highway,service,regular
,,,
12199096,service,parking_aisle,regular
,,,
12199099,access,private,regular
,,,
12199099,highway,service,regular
,,,
12199099,service,driveway,regular
,,,
12199104,access,private,regular
,,,
12199104,highway,service,regular
,,,
12199104,service,driveway,regular
,,,
12199106,access,private,regular
,,,
12199106,highway,service,regular
,,,
12199106,service,driveway,regular
,,,
12199130,highway,service,regular
,,,
12199130,service,alley,regular
,,,
12199130,cfcc,A41,tiger
,,,
12199130,county,"Honolulu, HI",tiger
,,,
12199130,reviewed,no,tiger
,,,
12199153,highway,residential,regular
,,,
12199153,cfcc,A41,tiger
,,,
12199153,county,"Honolulu, HI",tiger
,,,
12199153,reviewed,no,tiger
,,,
12199153,separated,no,tiger
,,,
12199153,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12199153,tlid,203327831,tiger
,,,
12199153,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12199155,highway,residential,regular
,,,
12199155,cfcc,A41,tiger
,,,
12199155,county,"Honolulu, HI",tiger
,,,
12199155,reviewed,no,tiger
,,,
12199155,separated,no,tiger
,,,
12199155,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12199155,tlid,203327833,tiger
,,,
12199155,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12199191,highway,primary_link,regular
,,,
12199191,oneway,yes,regular
,,,
12199200,highway,motorway_link,regular
,,,
12199200,oneway,yes,regular
,,,
12199200,cfcc,A63,tiger
,,,
12199200,county,"Honolulu, HI",tiger
,,,
12199200,reviewed,no,tiger
,,,
12199204,highway,residential,regular
,,,
12199233,access,private,regular
,,,
12199233,highway,service,regular
,,,
12199233,service,driveway,regular
,,,
12199233,cfcc,A74; A41,tiger
,,,
12199233,county,"Honolulu, HI",tiger
,,,
12199233,reviewed,no,tiger
,,,
12199257,access,private,regular
,,,
12199257,highway,residential,regular
,,,
12199257,name,Makalapa Drive,regular
,,,
12199257,cfcc,A41,tiger
,,,
12199257,county,"Honolulu, HI",tiger
,,,
12199257,reviewed,no,tiger
,,,
12199262,highway,residential,regular
,,,
12199262,cfcc,A41,tiger
,,,
12199262,county,"Honolulu, HI",tiger
,,,
12199262,reviewed,no,tiger
,,,
12199287,access,private,regular
,,,
12199287,highway,service,regular
,,,
12199287,name,Punahele Place,regular
,,,
12199287,service,driveway,regular
,,,
12199293,highway,service,regular
,,,
12199293,cfcc,A74,tiger
,,,
12199293,county,"Honolulu, HI",tiger
,,,
12199293,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12199293,tlid,203334947,tiger
,,,
12199293,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12199296,highway,service,regular
,,,
12199296,cfcc,A74,tiger
,,,
12199296,county,"Honolulu, HI",tiger
,,,
12199296,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12199296,tlid,203334948:203334949,tiger
,,,
12199296,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12199299,highway,motorway_link,regular
,,,
12199299,oneway,yes,regular
,,,
12199299,surface,asphalt,regular
,,,
12199299,cfcc,A63,tiger
,,,
12199299,county,"Honolulu, HI",tiger
,,,
12199299,reviewed,no,tiger
,,,
12199305,highway,service,regular
,,,
12199315,highway,service,regular
,,,
12199337,highway,service,regular
,,,
12199337,oneway,yes,regular
,,,
12199337,surface,asphalt,regular
,,,
12199344,highway,residential,regular
,,,
12199344,cfcc,A41,tiger
,,,
12199344,county,"Honolulu, HI",tiger
,,,
12199344,reviewed,no,tiger
,,,
12199344,separated,no,tiger
,,,
12199344,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12199344,tlid,203249249,tiger
,,,
12199344,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12199384,highway,service,regular
,,,
12199389,highway,service,regular
,,,
12199389,cfcc,A41,tiger
,,,
12199404,created_by,Potlatch 0.10f,regular
,,,
12199404,power,line,regular
,,,
12199404,cfcc,C20,tiger
,,,
12199404,county,"Honolulu, HI",tiger
,,,
12199404,reviewed,no,tiger
,,,
12199404,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12199404,tlid,203238659,tiger
,,,
12199404,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12199436,highway,service,regular
,,,
12199436,oneway,yes,regular
,,,
12199436,service,driveway,regular
,,,
12199464,highway,service,regular
,,,
12199464,service,parking_aisle,regular
,,,
12199484,access,private,regular
,,,
12199484,highway,service,regular
,,,
12199484,service,driveway,regular
,,,
12199485,highway,service,regular
,,,
12199485,service,parking_aisle,regular
,,,
12199488,highway,service,regular
,,,
12199488,service,parking_aisle,regular
,,,
12199490,highway,service,regular
,,,
12199490,oneway,yes,regular
,,,
12199490,service,alley,regular
,,,
12199490,cfcc,A41,tiger
,,,
12199490,county,"Honolulu, HI",tiger
,,,
